timestamp,pH,turbidity_NTU,CO2_ppm,alarm_flag,maintenance_log,zscore_flag_pH,zscore_flag_turbidity_NTU,zscore_flag_CO2_ppm,zscore_pH,zscore_turbidity_NTU,zscore_CO2_ppm,iqr_flag_pH,iqr_flag_turbidity_NTU,iqr_flag_CO2_ppm,zscore_flag_any,iqr_flag_any,ground_truth_event
2026-01-01 00:00:00,7.165,2.432,441.16,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 00:15:00,7.098,2.538,428.2,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 00:30:00,7.186,2.169,426.26,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 00:45:00,7.194,1.961,438.52,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 01:00:00,7.047,2.292,436.88,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 01:15:00,7.077,2.15,430.63,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 01:30:00,7.145,2.163,432.61,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 01:45:00,7.119,2.251,432.39,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 02:00:00,7.129,2.085,430.94,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 02:15:00,7.082,2.101,424.79,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 02:30:00,7.163,2.115,419.59,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 02:45:00,7.152,2.342,425.64,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 03:00:00,7.109,2.118,435.75,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 03:15:00,7.155,1.922,435.33,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 03:30:00,7.115,1.924,426.26,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 03:45:00,7.04,2.122,422.83,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 04:00:00,7.093,1.931,427.11,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 04:15:00,7.018,1.867,427.06,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 04:30:00,7.101,2.199,427.0,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 04:45:00,7.046,2.21,413.75,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 05:00:00,7.03,2.058,435.74,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 05:15:00,6.995,2.165,426.87,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 05:30:00,7.081,2.159,420.77,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 05:45:00,7.002,2.232,417.91,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 06:00:00,6.979,2.244,423.95,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 06:15:00,6.973,1.777,421.2,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 06:30:00,7.007,2.147,418.8,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 06:45:00,6.989,2.277,419.49,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 07:00:00,6.982,2.156,416.44,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 07:15:00,6.973,2.242,417.75,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 07:30:00,7.05,2.369,418.31,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 07:45:00,6.913,2.29,416.07,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 08:00:00,6.899,2.526,415.16,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 08:15:00,6.876,2.492,418.9,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 08:30:00,6.939,2.329,406.31,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 08:45:00,6.958,2.342,408.9,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 09:00:00,6.888,1.969,411.62,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 09:15:00,6.845,2.373,408.06,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 09:30:00,6.84,2.245,408.9,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 09:45:00,6.908,2.507,415.17,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 10:00:00,6.907,2.523,409.01,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 10:15:00,6.893,2.631,401.92,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 10:30:00,6.828,2.762,407.22,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 10:45:00,6.87,2.574,408.87,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 11:00:00,6.861,2.946,408.57,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 11:15:00,6.864,2.663,410.45,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 11:30:00,6.895,2.457,410.0,0,,0,0,0,,,,0,0,0,0,0,0
2026-01-01 11:45:00,6.862,2.593,407.47,0,,0,0,0,-1.34,1.3232,-1.3149,0,0,0,0,0,0
2026-01-01 12:00:00,6.884,2.644,403.23,0,,0,0,0,-1.1105,1.4807,-1.668,0,0,0,0,0,0
2026-01-01 12:15:00,6.854,2.811,406.26,0,,0,0,0,-1.347,2.0392,-1.3334,0,0,0,0,0,0
2026-01-01 12:30:00,6.866,2.601,405.61,0,,0,0,0,-1.2072,1.1911,-1.3566,0,0,0,0,0,0
2026-01-01 12:45:00,6.884,2.719,407.09,0,,0,0,0,-1.0229,1.5915,-1.1861,0,0,0,0,0,0
2026-01-01 13:00:00,6.782,2.759,411.17,0,,0,0,0,-1.8637,1.6796,-0.7844,0,0,0,0,0,0
2026-01-01 13:15:00,6.842,2.734,410.25,0,,0,0,0,-1.2991,1.5354,-0.8585,0,0,0,0,0,0
2026-01-01 13:30:00,6.838,2.939,412.21,0,,0,0,0,-1.301,2.1695,-0.6614,0,0,0,0,0,0
2026-01-01 13:45:00,6.834,2.929,407.7,0,,0,0,0,-1.3032,2.0326,-1.0755,0,0,0,0,0,0
